,tag_total,date
55,"['#버거', '#햄버거', '#수제버거', '#장사의신', '#버거이즈마이라이프', '#벅벅', '#벅벅버거', '#장사의신', '#장사의신벅벅', '#성대', '#혜화', '#명륜동맛집', '#성대맛집', '#대학로', '#주말저녁', '#주말데이트', '#주말나들이', '#늦은저녁', '#야호']",2021-09-06T03:04:02.000Z
56,"['#양식땡긴다', '#파스타', '#햄버거', '#스테이크', '#마늘빵', '#엠스테이크하우스', '#데이트코스추천', '#잠실데이트', '#먹스타그램', '#좋아요', '#먹팔환영', '#먹팔맞팔', '#daily', '#foodstagram']",2021-09-06T02:59:32.000Z
57,"['#홍저씨랑', '#벅벅', '#벅벅버거', '#버거', '#수제버거', '#햄버거', '#버거이즈마이라이프', '#성대맛집', '#대학로', '#주말', '#저녁', '#야간데이트', '#출동', '#장사의신', '#존잼']",2021-09-06T02:56:06.000Z
58,"['#본식드레스셀렉', '#본식드레스가봉', '#shakeshack', '#쉑쉑버거', '#감튀', '#햄버거', '#예비신부', '#결혼준비', '#다이어트', '#유지어터', '#대존맛']",2021-09-06T02:50:22.000Z
59,"['#맘스터치통다리', '#싸이버거', 'rng', '#맘스터치', '#롱돈롱산', '#통다리', '#화이트갈릭버거', '#햄버거', '#오늘점심', '#점심메뉴추천', '#직장인점심', '#오늘뭐먹지', '#치킨맛집', '#먹스타그램', '#먹스타맞팔', '#먹팔맞팔', '#일상스타그램']",2021-09-06T02:47:30.000Z
60,"['#헤이로라', '#수제버거', '#햄버거']",2021-09-06T02:38:53.000Z
61,"['#ohpqr', '#오피큐알', '#수원', '#행궁동', '#수원맛집', '#행궁동맛집', '#수원데이트', '#행궁동데이트', '#수원화성', '#맛집추천', '#수제버거', '#수제버거맛집', '#햄버거', '#수제맥주', '#버거펍', '#행궁동파스타', '#애견동반', '#댕댕이', '#애견동반식당', '#강아지', '#수원역맛집', '#배달맛집', '#굿즈', '#굿즈샵', '#하와이', '#수제버거추천', '#행궁동맛집추천', '#일상']",2021-09-06T02:30:38.000Z
62,"['#점심', '#수제버거', '#음료', '#빠지리카노로', '#칼로리', '#햄버거', '#빠지리카노', '#체지방', '#울인친님들맛난거챙겨드세요', '#이번주치킨쏜다이벤트도', '#준비중이니기대하세요']",2021-09-06T02:25:06.000Z
63,"['#アメリカ食堂', '#sandsdiner', '#バーガー', '#burger', '#hamburger', '#タワーバーガー', '#ハンバーガー好きな人と繋がりたい', '#シェイク好きな人と繋がりたい', '#milkshakes', '#towerburger', '#tacos', '#あぐー', '#アグー', '#国際通り', '#沖縄', '#那覇', '#cafe', '#diner', '#カフェ', '#kokusaistreet', '#okinawa', '#naha', '#햄버거', '#漢堡包', '#工藝啤酒', '#크래프트맥주']",2021-09-06T02:23:44.000Z
64,"['#포켓치킨', '#햄버거', '#도시락', '#라면', '#편의점음식', '#먹스타그램', '#먹스타맞팔', '#먹팔해요', '#먹팔가능', '#먹팔환영', '#lunch', '#chicken']",2021-09-06T02:21:50.000Z
